,drive_id,offense,defense,drive_number,start_period,start_time_min,start_time_sec,start_yardline,start_ytg,drive_result,end_period,end_time_min,end_time_sec,end_yardline,end_ytg,num_plays,score,yards_gained,game_id
14198,40101503320,Southern Mississippi,Marshall,18,3,8,28,24,76,PUNT,3,4,57,35,65,5,False,11,401015033
14199,40101503321,Marshall,Southern Mississippi,19,3,4,57,76,76,INT,3,4,39,76,76,2,False,0,401015033
14200,40101503322,Southern Mississippi,Marshall,20,3,4,39,91,9,FG,3,2,58,94,6,4,True,3,401015033
14201,40101503323,Marshall,Southern Mississippi,21,3,2,58,75,75,PUNT,3,0,0,32,32,9,False,43,401015033
14202,40101503324,Southern Mississippi,Marshall,22,4,13,36,6,94,TD,4,7,11,100,0,13,True,94,401015033
14203,40101503325,Marshall,Southern Mississippi,23,4,7,11,63,63,FUMBLE,4,4,19,4,4,8,False,59,401015033
14204,40101503326,Southern Mississippi,Marshall,24,4,4,19,4,96,PUNT,4,3,8,12,88,3,False,8,401015033
14205,40101503327,Marshall,Southern Mississippi,25,4,3,8,46,46,TD,4,1,2,0,0,10,True,46,401015033
14206,40101503328,Southern Mississippi,Marshall,26,4,1,2,55,45,END OF GAME,4,0,0,53,47,2,False,-2,401015033
14207,4010150341,Middle Tennessee,Western Kentucky,1,1,15,0,25,75,TD,1,13,36,100,0,6,True,75,401015034
14208,4010150342,Western Kentucky,Middle Tennessee,2,1,13,36,75,75,DOWNS,1,11,13,28,28,9,False,47,401015034
14209,4010150343,Middle Tennessee,Western Kentucky,3,1,11,13,28,72,PUNT,1,9,43,43,57,5,False,15,401015034
14210,4010150344,Western Kentucky,Middle Tennessee,4,1,9,43,89,89,FG,1,7,47,23,23,7,True,66,401015034
14211,4010150345,Middle Tennessee,Western Kentucky,5,1,7,47,25,75,PUNT,1,4,56,63,37,9,False,38,401015034
14212,4010150346,Western Kentucky,Middle Tennessee,6,1,4,56,83,83,PUNT,1,3,27,78,78,3,False,5,401015034
14213,4010150347,Middle Tennessee,Western Kentucky,7,1,3,27,20,80,FG,1,1,26,75,25,5,True,55,401015034
14214,4010150348,Western Kentucky,Middle Tennessee,8,1,1,26,83,83,PUNT,1,0,0,57,57,6,False,26,401015034
14215,4010150349,Middle Tennessee,Western Kentucky,9,2,14,11,20,80,PUNT,2,0,0,20,80,3,False,0,401015034
14216,40101503410,Western Kentucky,Middle Tennessee,10,2,13,7,68,68,PUNT,2,11,49,64,64,3,False,4,401015034
14217,40101503411,Middle Tennessee,Western Kentucky,11,2,11,49,17,83,TD,2,6,13,100,0,14,True,83,401015034
14218,40101503412,Western Kentucky,Middle Tennessee,12,2,6,13,72,72,PUNT,2,4,55,73,73,3,False,-1,401015034
14219,40101503413,Middle Tennessee,Western Kentucky,13,2,4,55,16,84,PUNT,2,2,17,27,73,5,False,11,401015034
14220,40101503414,Western Kentucky,Middle Tennessee,14,2,2,17,60,60,PUNT,2,0,58,44,44,6,False,16,401015034
14221,40101503415,Middle Tennessee,Western Kentucky,15,2,0,58,15,85,FG,2,0,0,78,22,5,True,63,401015034
14222,40101503416,Western Kentucky,Middle Tennessee,16,2,0,0,66,66,Uncategorized,2,0,0,66,66,0,False,0,401015034
14223,40101503418,Western Kentucky,Middle Tennessee,17,3,15,0,92,92,FUMBLE,3,11,35,22,22,8,False,70,401015034
14224,40101503419,Middle Tennessee,Western Kentucky,18,3,11,35,22,78,FG,3,6,53,94,6,12,True,72,401015034
14225,40101503420,Western Kentucky,Middle Tennessee,19,3,6,53,90,90,PUNT,3,5,49,85,85,3,False,5,401015034
14226,40101503421,Middle Tennessee,Western Kentucky,20,3,5,49,50,50,PUNT,3,3,54,51,49,3,False,1,401015034
14227,40101503422,Western Kentucky,Middle Tennessee,21,3,3,54,94,94,TD,3,1,34,0,0,7,True,94,401015034
14228,40101503423,Middle Tennessee,Western Kentucky,22,3,1,34,25,75,FG,4,13,44,89,11,8,True,64,401015034
14229,40101503424,Western Kentucky,Middle Tennessee,23,4,13,44,67,67,MISSED FG,4,11,38,20,20,10,False,47,401015034
14230,40101503425,Middle Tennessee,Western Kentucky,24,4,11,38,35,65,PUNT,4,10,12,39,61,3,False,4,401015034
14231,40101503426,Western Kentucky,Middle Tennessee,25,4,10,12,68,68,PUNT,4,8,48,73,73,3,False,-5,401015034
14232,40101503427,Middle Tennessee,Western Kentucky,26,4,8,48,16,84,PUNT,4,5,54,26,74,4,False,10,401015034
14233,40101503428,Western Kentucky,Middle Tennessee,27,4,5,54,64,64,DOWNS,4,5,35,64,64,4,False,0,401015034
14234,40101503429,Middle Tennessee,Western Kentucky,28,4,5,35,64,36,FG,4,1,51,87,13,8,True,23,401015034
14235,40101503430,Western Kentucky,Middle Tennessee,29,4,1,51,62,62,INT,4,1,13,55,55,2,False,7,401015034
